IDmembers,Reporter ou fotografo,Pauta,link,data,editoria1,editoria2
5b6b219cf77e1d03567d2169,icarocesarcarvalho,PAI DENUNCIA VISITAS ÍNTIMAS E USO DE DROGAS NO JOÃO MACHADO,https://trello.com/c/sGlVuPIE,2023-11-27T21:10:28.082Z,Dia,Natal
63ee58d9ba995a5b7033bf7b,adenilson_costa,FLUXO DE TURISTAS NO BRASIL SE APROXIMA DO PERÍODO PRÉ-PANDEMIA,https://trello.com/c/SBs4wlBV,2023-11-27T20:52:37.174Z,Economia,Dia
5b68bf9ca935d8182d055ae5,Alex Regis📷,LANÇAMENTO PROGRAMA HIDROGÊNIO VERDE E PL QUE ESTABELECE MARCO LEGAL,https://trello.com/c/BM35ZVXt,2023-11-27T20:52:40.390Z,Economia,Dia
6304e382a0cc7d59746539e7,Cláudio Oliveira,LANÇAMENTO PROGRAMA HIDROGÊNIO VERDE E PL QUE ESTABELECE MARCO LEGAL,https://trello.com/c/BM35ZVXt,2023-11-27T20:52:40.390Z,Economia,Dia
63ee58d9ba995a5b7033bf7b,adenilson_costa,CESTAS NATALINAS SÃO CRISTÓVÃO,https://trello.com/c/KEn6HV78,2023-11-27T20:52:34.852Z,Dia,Economia
5b68c06dfc5092294266769c,adriano abreu📷,CESTAS NATALINAS SÃO CRISTÓVÃO,https://trello.com/c/KEn6HV78,2023-11-27T20:52:34.852Z,Dia,Economia
60f844aeb93bca671c3fe551,Bruno Vital,INVASÃO DO PRÉDIO DO MEIOS/UFRN,https://trello.com/c/4L7sc7I2,2023-11-27T20:52:12.218Z,Dia,Natal
5b68c06dfc5092294266769c,adriano abreu📷,INVASÃO DO PRÉDIO DO MEIOS/UFRN,https://trello.com/c/4L7sc7I2,2023-11-27T20:52:12.218Z,Dia,Natal
63ee58d9ba995a5b7033bf7b,adenilson_costa,ATO UNIFICADO DO SINAI - GREVE DO DETRAN,https://trello.com/c/QRVXs54P,2023-11-27T20:52:12.068Z,Natal,Dia
5b68c06dfc5092294266769c,adriano abreu📷,ATO UNIFICADO DO SINAI - GREVE DO DETRAN,https://trello.com/c/QRVXs54P,2023-11-27T20:52:12.068Z,Natal,Dia
6304e382a0cc7d59746539e7,Cláudio Oliveira,AGRÍCOLA FAMOSA MONTA FROTA DE NAVIOS PARA EXPORTAR FRUTAS PARA EUROPA,https://trello.com/c/8zXbBqWd,2023-11-27T20:52:12.068Z,Economia,Dia
5b68c06dfc5092294266769c,adriano abreu📷,DIMINUIÇÃO DO NÚMERO DE ALUNOS DE ESCOLAS PÚBLICAS DO RN,https://trello.com/c/7t8BNUGR,2023-11-27T20:52:12.202Z,Domingo,Natal
6304e382a0cc7d59746539e7,Cláudio Oliveira,DIMINUIÇÃO DO NÚMERO DE ALUNOS DE ESCOLAS PÚBLICAS DO RN,https://trello.com/c/7t8BNUGR,2023-11-27T20:52:12.202Z,Domingo,Natal
5b6b219cf77e1d03567d2169,icarocesarcarvalho,MERCADO DE CARROS BLINDADOS,https://trello.com/c/ZhvXKhjm,2023-11-27T20:52:12.200Z,Economia,Domingo
5b68bf9ca935d8182d055ae5,Alex Regis📷,MERCADO DE CARROS BLINDADOS,https://trello.com/c/ZhvXKhjm,2023-11-27T20:52:12.200Z,Economia,Domingo
