Data,Seguidores,Seguidores do Instagram,Alcance do Instagram
2023-11-01 00:00:00,199,2961,171992
2023-11-02 00:00:00,170,1949,120502
2023-11-03 00:00:00,170,2534,181872
2023-11-04 00:00:00,147,1792,142800
2023-11-05 00:00:00,202,3907,215818
2023-11-06 00:00:00,212,5346,237034
2023-11-07 00:00:00,197,3720,198078
2023-11-08 00:00:00,199,5205,220970
2023-11-09 00:00:00,286,5177,221268
2023-11-10 00:00:00,170,4099,198846
2023-11-11 00:00:00,154,3483,182025
2023-11-12 00:00:00,176,2861,172862
2023-11-13 00:00:00,211,5649,212279
2023-11-14 00:00:00,216,7975,264209
2023-11-15 00:00:00,219,5512,230395
2023-11-16 00:00:00,197,4535,235048
2023-11-17 00:00:00,222,5618,246372
2023-11-18 00:00:00,185,3464,216871
2023-11-19 00:00:00,129,2564,219095
2023-11-20 00:00:00,184,3708,192270
2023-11-21 00:00:00,193,3858,238301
2023-11-22 00:00:00,210,4131,203832
2023-11-23 00:00:00,204,5200,206829
2023-11-24 00:00:00,189,4078,190754
2023-11-25 00:00:00,177,3862,182290
2023-11-26 00:00:00,150,2495,163950
2023-11-27 00:00:00,271,7481,223397
2023-11-28 00:00:00,476,11822,241323
2023-11-29 00:00:00,221,4397,210739
2023-11-30 00:00:00,170,5675,236377
