pauta,link,data,editoria,freq_edi
ENGORDA,https://trello.com/c/04sRKLHI,2024-07-22T00:42:32.199Z,Dia,1955
ENGORDA,https://trello.com/c/04sRKLHI,2024-07-22T00:42:32.199Z,Natal,1515
TRECHO DA BR-101 INTERDITADO NESTA SEGUNDA-FEIRA (22),https://trello.com/c/cODbPoXT,2024-07-22T20:52:58.075Z,Pauta sem editoria,0
CORRIDA MARISTA - 31 DE AGOSTO,https://trello.com/c/QiFUbOH8,2024-07-21T23:03:35.089Z,Natal,1515
CORRIDA MARISTA - 31 DE AGOSTO,https://trello.com/c/QiFUbOH8,2024-07-21T23:03:35.089Z,Dia,1955
AUMENTO DO PREÇO DA LARANJA PERA,https://trello.com/c/W7O8a4AL,2024-07-22T16:19:42.782Z,Dia,1955
AUMENTO DO PREÇO DA LARANJA PERA,https://trello.com/c/W7O8a4AL,2024-07-22T16:19:42.782Z,Economia,704
AUMENTO DO PREÇO DA LARANJA PERA,https://trello.com/c/W7O8a4AL,2024-07-22T16:19:42.782Z,MAGNUS NASCIMENTO,46
REFORMA TRIBUTÁRIA,https://trello.com/c/ltSP31oN,2024-07-21T23:03:21.587Z,Dia,1955
REFORMA TRIBUTÁRIA,https://trello.com/c/ltSP31oN,2024-07-21T23:03:21.587Z,Economia,704
ENDIVIDAMENTO DA POPULAÇÃO DO RN,https://trello.com/c/mr3KjIgY,2024-07-18T00:37:32.202Z,Dia,1955
ENDIVIDAMENTO DA POPULAÇÃO DO RN,https://trello.com/c/mr3KjIgY,2024-07-18T00:37:32.202Z,Economia,704
ENDIVIDAMENTO DA POPULAÇÃO DO RN,https://trello.com/c/mr3KjIgY,2024-07-18T00:37:32.202Z,MAGNUS NASCIMENTO,46
IDEMA - Retorno sobre prazo para a emissão da licença/ FUNPEC,https://trello.com/c/QHXDtubd,2024-07-21T23:03:01.295Z,Dia,1955
IDEMA - Retorno sobre prazo para a emissão da licença/ FUNPEC,https://trello.com/c/QHXDtubd,2024-07-21T23:03:01.295Z,Natal,1515
CASOS DE AGRESSÃO A ANIMAIS,https://trello.com/c/VsJh37KM,2024-07-15T18:51:55.175Z,Natal,1515
CASOS DE AGRESSÃO A ANIMAIS,https://trello.com/c/VsJh37KM,2024-07-15T18:51:55.175Z,Domingo,487
CASOS DE AGRESSÃO A ANIMAIS,https://trello.com/c/VsJh37KM,2024-07-15T18:51:55.175Z,MAGNUS NASCIMENTO,46
SÃO MIGUEL DO GOSTOSO,https://trello.com/c/wDJz6V1U,2024-07-11T15:43:07.249Z,Domingo,487
SÃO MIGUEL DO GOSTOSO,https://trello.com/c/wDJz6V1U,2024-07-11T15:43:07.249Z,Economia,704
"BRASIL SÓ TERÁ SANEAMENTO BÁSICO ATÉ 2070, ALERTA INSTITUTO",https://trello.com/c/DREK4PI0,2024-07-15T21:27:32.717Z,Domingo,487
"BRASIL SÓ TERÁ SANEAMENTO BÁSICO ATÉ 2070, ALERTA INSTITUTO",https://trello.com/c/DREK4PI0,2024-07-15T21:27:32.717Z,Natal,1515
INVESTIMENTOS VIA COSTEIRA,https://trello.com/c/w8lGPqV5,2024-07-16T01:18:19.686Z,Economia,704
INVESTIMENTOS VIA COSTEIRA,https://trello.com/c/w8lGPqV5,2024-07-16T01:18:19.686Z,Domingo,487
ENTREVISTA COM PERDIGÃO - GEÓLOGO ENGORDA DE FORTALEZA,https://trello.com/c/8xF9i2Fe,2024-07-21T23:02:50.988Z,Dia,1955
ENTREVISTA COM PERDIGÃO - GEÓLOGO ENGORDA DE FORTALEZA,https://trello.com/c/8xF9i2Fe,2024-07-21T23:02:50.988Z,Natal,1515
EXPOEDUC - ENTREVISTA LÉO CHAVES,https://trello.com/c/qzHSca0C,2024-07-15T22:18:43.186Z,Dia,1955
EXPOEDUC - ENTREVISTA LÉO CHAVES,https://trello.com/c/qzHSca0C,2024-07-15T22:18:43.186Z,Natal,1515
