IDmembers,reporter_fotografo,pauta,link,data
557f1f8b6d6ecf374ea1bb6d,Cláudio Oliveira,LANÇAMENTO DO FIERN JOVEM,https://trello.com/c/o5XnzFMv,2024-05-21T21:24:45.185Z
634da2a8bd0c1f02887146c5,Gabriela Liberato,URBANIZAÇÃO DAS PRAIAS DE NATAL,https://trello.com/c/k5in6sLa,2024-05-08T21:26:45.339Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,APRESENTAÇÃO PLANO DE INVESTIMENTOS NEOENERGIA COSERN,https://trello.com/c/5iqI2v6h,2024-05-22T20:21:24.170Z
634da2a8bd0c1f02887146c5,Gabriela Liberato,APP DE MOBILIDADE PARA DEFICIENTES VISUAIS,https://trello.com/c/NAaRO0dw,2024-05-21T22:07:36.643Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,ARQUIDIOCESE DE NATAL VAI CRIAR DUAS DIOCESES,https://trello.com/c/7RSjRmga,2024-05-21T21:25:39.999Z
656b97d80b23d5e66764e89e,Lara Agra,ESTUDO DO GOVERNO FEDERAL MOSTRA QUE RN TEM 31 MUNICÍPIOS COM RISCOS DE DESASTRE AMBIENTAL,https://trello.com/c/QVDX5bEz,2024-05-21T21:25:52.563Z
656b97d80b23d5e66764e89e,Lara Agra,FÓRUM DE CARREIRAS,https://trello.com/c/A9D8o2ge,2024-05-22T20:06:41.129Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,21.05.2024 -REQUALIFICAÇÃO - ATHENEU,https://trello.com/c/HhSDSLvc,2024-05-21T21:23:46.511Z
656b97d80b23d5e66764e89e,Lara Agra,21.05.2024 -LINGUAGEM NEUTRA NAS ESCOLAS,https://trello.com/c/LDf62l46,2024-05-21T21:16:59.857Z
557f1f8b6d6ecf374ea1bb6d,Cláudio Oliveira,21.05.2024 - GREVE PROFESSORES DA UFRN,https://trello.com/c/8008qpDl,2024-05-21T15:05:49.929Z
