"","edi_id","edi_descricao","edi_status","edi_id_pai","edi_template_name"
"1",2017,"Notas e Comentários",1,2017,"index"
"2",2016,"Negócios e Finanças",1,2016,"index"
"3",2015,"Mercado Publicitário",1,2015,"index"
"4",2014,"Meditando na Adega",1,2014,"index"
"5",3013,"Descobrimento do Brasil",0,0,"index"
"6",3014,"História dos Mártires",0,0,"index"
"7",3015,"Redescobrindo o RN",0,0,"index"
"8",3016,"Brasil 500 Anos 1",0,0,"index"
"9",3017,"Brasil 500 Anos 2",0,0,"index"
"10",3018,"Brasil 500 Anos 3",0,0,"index"
"11",3019,"Brasil 500 Anos 4",0,0,"index"
"12",3020,"Brasil 500 Anos 5",0,0,"index"
"13",3021,"Brasil 500 Anos 6",0,0,"index"
"14",3022,"Brasil 500 Anos 7",0,0,"index"
"15",3023,"Brasil 500 Anos 8",0,0,"index"
"16",3024,"Brasil 500 Anos 9",0,0,"index"
"17",3025,"Brasil 500 Anos 10",0,0,"index"
"18",3026,"Brasil 500 Anos 11",0,0,"index"
"19",3027,"Brasil 500 Anos 12",0,0,"index"
"20",3028,"Brasil 500 Anos 13",0,0,"index"
"21",3029,"Brasil 500 Anos 14",0,0,"index"
"22",3030,"Brasil 500 Anos 15",0,0,"index"
"23",3031,"Brasil 500 Anos Bibliografia",0,0,"index"
"24",3032,"História do RN 1",0,0,"index"
"25",3033,"História do RN 2",0,0,"index"
"26",3034,"História do RN 3",0,0,"index"
"27",3035,"História do RN 4",0,0,"index"
"28",3036,"História do RN 5",0,0,"index"
"29",3037,"História do RN 6",0,0,"index"
"30",3038,"História do RN 7",0,0,"index"
"31",3039,"História do RN 8",0,0,"index"
"32",3040,"História do RN 9",0,0,"index"
"33",3041,"História do RN 10",0,0,"index"
"34",3042,"História do RN 11",0,0,"index"
"35",3043,"História do RN 12",0,0,"index"
"36",3044,"História do RN 13",0,0,"index"
"37",3045,"História do RN 14",0,0,"index"
"38",3046,"História do RN 15",0,0,"index"
"39",3047,"História do RN 16",0,0,"index"
"40",2027,"Marcos Lopes",1,2027,"index"
"41",2013,"Liege Barbalho",1,2013,"index"
"42",2012,"Poder Judiciário",1,2012,"index"
"43",2011,"Jota Oliveira",0,2011,"index"
"44",2010,"Jornal de WM",1,2010,"index"
"45",2009,"Hilneth Correia",1,2009,"index"
"46",2007,"George Azevedo",1,2007,"index"
"47",2026,"Coluna do Consumidor",1,2026,"index"
"48",2028,"Eliana Lima",1,2028,"index"
"49",2006,"Cláudio Humberto",1,2006,"index"
"50",2005,"Canal Zap",1,2005,"index"
"51",2004,"Artigos",1,2004,"index"
"52",2002,"Anote",1,2002,"index"
"53",2003,"Apito Final",1,2003,"index"
"54",2001,"Abrindo a Porteira",1,2001,"index"
"55",1006,"TN Família",1,1006,"index"
"56",1005,"TN Escola",1,1005,"index"
"57",1004,"Guia de Cinema",1,1004,"index"
"58",1003,"Fim de Semana",1,1003,"index"
"59",1002,"Clube do Assinante",1,1002,"index"
"60",1001,"Autos e Motores",1,1001,"index"
"61",996,"Carnaval - Nacional",1,996,"index"
"62",995,"Carnaval - Interior",1,995,"index"
"63",994,"Carnaval - Capital",1,994,"index"
"64",993,"Carnaval - Antigos",1,993,"index"
"65",99,"Hot Site",1,99,"index"
"66",98,"VC Notícia",1,98,"index"
"67",15,"Imóveis e Construção",1,15,"index"
"68",14,"Mada",1,14,"index"
"69",13,"Blog",1,13,"index"
"70",12,"Vestibular RESULTADO",1,12,"index"
"71",11,"Vestibular UFRN",1,11,"index"
"72",10,"Tecnologia",1,10,"index"
